Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
295. The Trial of the Chicago 7,2020,2h 9m,R,7.7,200K,76.0,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",https://www.imdb.com/title/tt1070874/?ref_=sr_i_295,['Aaron Sorkin'],['Aaron Sorkin'],"['Eddie Redmayne', 'Alex Sharp', 'Sacha Baron Cohen', 'Jeremy Strong', 'John Carroll Lynch', 'Yahya Abdul-Mateen II', 'Mark Rylance', 'Joseph Gordon-Levitt', 'Ben Shenkman', 'J.C. MacKenzie']","$35,000,000 (estimated)",,,,"October 16, 2020","['United States', 'United Kingdom', 'India']","['Chicago, Illinois, USA']","['Dreamworks Pictures', 'Amblin Partners', 'Aperture Media Partners']","Nominated for 6 Oscars, 59 wins & 196 nominations total","['Docudrama', 'Legal Drama', 'Political Drama', 'Drama', 'History', 'Thriller']","['English', 'Latin', 'French']"
296. An American Pickle,2020,1h 28m,PG-13,5.7,28K,58.0,An immigrant worker at a pickle factory is accidentally preserved for 100 years and wakes up in modern-day Brooklyn.,https://www.imdb.com/title/tt9059704/?ref_=sr_i_296,['Simon Rich'],['Brandon Trost'],"['Seth Rogen', 'Sarah Snook', 'Molly Evensen', 'Eliot Glazer', 'Kalen Allen', ""Kevin O'Rourke"", 'Sean Whalen', 'Geoffrey Cantor', 'Carol Leifer', 'Jorma Taccone']",,,"$499,649",,"August 6, 2020","['United States', 'United Kingdom']","['Pittsburgh, Pennsylvania, USA (location)']","['Point Grey Pictures', 'Gravitational Productions', 'Sony Pictures Releasing']","Awards, 1 win & 1 nomination total","['High-Concept Comedy', 'Comedy', 'Fantasy']","['English', 'Yiddish', 'Hebrew']"
297. The Night Clerk,2020,1h 30m,R,5.6,20K,44.0,A voyeuristic hotel clerk becomes the subject of a murder investigation.,https://www.imdb.com/title/tt7979142/?ref_=sr_i_297,['Michael Cristofer'],['Michael Cristofer'],"['Tye Sheridan', 'Ana de Armas', 'Helen Hunt', 'John Leguizamo', 'Johnathon Schaech', 'Jacque Gray', 'Joey Miyashima', 'Austin Archer', 'Ibrahim Quraishi', 'Frantz Louizia']",,,"$302,127",,"February 21, 2020",['United States'],"['Provo Towne Center Mall, 1200 Towne Centre Blvd, Provo, Utah, USA (mall scenes)']","['Convergent Media.', 'Highland Film Group (HFG)', 'WulfPak Productions']","Awards, 1 nomination total","['Psychological Thriller', 'Whodunnit', 'Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",['English']
298. Rebecca,2020,2h 3m,PG-13,6.0,48K,46.0,"A young newlywed arrives at her husband's imposing family estate on a windswept English coast and finds herself battling the shadow of his first wife, Rebecca, whose legacy lives on in the house long after her death.",https://www.imdb.com/title/tt2235695/?ref_=sr_i_298,"['Jane Goldman', 'Joe Shrapnel', 'Anna Waterhouse']",['Ben Wheatley'],"['Lily James', 'Armie Hammer', 'Kristin Scott Thomas', 'Keeley Hawes', 'Jacques Bouanich', 'Marie Collins', 'Ann Dowd', 'Jean Dell', 'Sophie Payan', 'Pippa Winslow']","$18,000,000 (estimated)",,,,"October 21, 2020","['United Kingdom', 'United States']","['Hatfield House, Hatfield, Hertfordshire, England, UK (Manderley)']","['Netflix', 'Working Title Films']","Nominated for 1 BAFTA Award, 1 win & 3 nominations total","['Dark Romance', 'Psychological Thriller', 'Drama', 'Mystery', 'Romance', 'Thriller']",['English']
299. Project Power,2020,1h 53m,R,6.0,101K,51.0,"When a pill that gives its users unpredictable superpowers for five minutes hits the streets of New Orleans, a teenage dealer and a local cop must team with an ex-soldier to take down the group responsible for its creation.",https://www.imdb.com/title/tt7550000/?ref_=sr_i_299,['Mattson Tomlin'],"['Henry Joost', 'Ariel Schulman']","['Jamie Foxx', 'Joseph Gordon-Levitt', 'Dominique Fishback', 'Rodrigo Santoro', 'Courtney B. Vance', 'Amy Landecker', 'Colson Baker', 'Tait Fletcher', 'Allen Maldonado', 'Andrene Ward-Hammond']","$85,000,000 (estimated)",,,,"August 14, 2020","['United States', 'United Kingdom', 'Canada', 'France']","['New Orleans, Louisiana, USA']","['Netflix', 'Screen Arcade', 'Supermarché']","Awards, 2 wins & 7 nominations total","['Drug Crime', 'Superhero', 'Action', 'Crime', 'Sci-Fi', 'Thriller']","['English', 'Spanish']"
300. Wolfwalkers,2020,1h 43m,PG,8.0,42K,87.0,A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.,https://www.imdb.com/title/tt5198068/?ref_=sr_i_300,"['Will Collins', 'Tomm Moore', 'Ross Stewart']","['Tomm Moore', 'Ross Stewart']","['Honor Kneafsey', 'Eva Whittaker', 'Sean Bean', 'Simon McBurney', 'Tommy Tiernan', 'Maria Doyle Kennedy', 'Jon Kenny', 'John Morton', 'Nora Twomey', 'Oliver McGrath']","$12,000,000 (estimated)",,"$1,310,720",,"November 13, 2020","['Ireland', 'Luxembourg', 'France', 'China', 'United States']","['Kilkenny, County Kilkenny, Ireland']","['Apple Original Films', 'Cartoon Saloon', 'Mélusine Productions']","Nominated for 1 Oscar, 35 wins & 68 nominations total","['Coming-of-Age', 'Dark Fantasy', 'Fairy Tale', 'Hand-Drawn Animation', 'Teen Adventure', 'Action', 'Adventure', 'Animation', 'Drama', 'Family']","['English', 'Irish Gaelic']"
301. Run Hide Fight,2020,1h 49m,TV-MA,6.3,29K,13.0,"Zoe Hull, 17, uses her wits, survival skills, and compassion to fight for her life, and the lives of her classmates, against a group of live-streaming school shooters.",https://www.imdb.com/title/tt11456054/?ref_=sr_i_301,['Kyle Rankin'],['Kyle Rankin'],"['Isabel May', 'Radha Mitchell', 'Thomas Jane', 'Eli Brown', 'Olly Sholotan', 'Treat Williams', 'Barbara Crampton', 'Cyrus Arnold', 'Britton Sear', 'Catherine Davis']",,,"$34,561",,"January 14, 2021",['United States'],"['Red Oak, Texas, USA']","['Bonfire Legend', 'Red River Entertainment', 'Media Finance Capital']",,"['Psychological Thriller', 'Teen Drama', 'Action', 'Crime', 'Drama', 'Thriller']","['English', 'Spanish']"
302. Body Cam,2020,1h 36m,R,5.3,7.6K,37.0,"When a routine traffic stop results in the unexplained, grisly death of her colleague, a cop realizes footage of the incident will play for her eyes only. As the attacks mount, she races to understand the supernatural force behind them.",https://www.imdb.com/title/tt8179024/?ref_=sr_i_302,"['Nicholas McCarthy', 'Richmond Riedel']",['Malik Vitthal'],"['Mary J. Blige', 'Nat Wolff', 'David Zayas', 'Anika Noni Rose', 'David Warshofsky', 'Ian Casselberry', 'Philip Fornah', 'Lara Grice', 'Demetrius Grosse', 'Naima Ramos-Chapman']","$9,591,845 (estimated)",,,,"May 18, 2020",['United States'],"['734 4th St, Westwego, Louisiana, USA (location)']","['BET Films', 'Paramount Players', 'Ace Entertainment']",,"['Horror', 'Mystery', 'Thriller']",['English']
303. Cuties,2020,1h 36m,TV-MA,3.6,33K,67.0,Eleven-year-old Amy starts to rebel against her conservative family's traditions when she becomes fascinated with a free-spirited dance crew.,https://www.imdb.com/title/tt9196192/?ref_=sr_i_303,['Maïmouna Doucouré'],['Maïmouna Doucouré'],"['Fathia Youssouf', 'Médina El Aidi-Azouni', 'Esther Gohourou', 'Ilanah Cami-Goursolas', 'Myriam Hamma', 'Maïmouna Gueye', 'Mbissine Thérèse Diop', 'Demba Diaw', 'Mamadou Samaké', 'Bilel Chegrani']",,,"$692,459",,"September 9, 2020",['France'],"['Collège Georges Brassens - 4 Rue Erik Satie, Paris 19, Paris, France (school)']","['Bien Ou Bien Productions', 'France 3 Cinéma', 'Canal+']","Awards, 4 wins & 8 nominations total","['Teen Drama', 'Drama']","['French', 'Wolof', 'Arabic', 'Spanish', 'English']"
304. The Call,2020,1h 52m,TV-MA,7.1,48K,,"Two people live in different times. Seo-Yeon lives in the present and Young-Sook lives in the past. One phone call connects the two, and their lives are changed irrevocably.",https://www.imdb.com/title/tt10530176/?ref_=sr_i_304,"['Sergio Casci', 'Chung-Hyun Lee']",['Chung-Hyun Lee'],"['Park Shin-hye', 'Jeon Jong-seo', 'Kim Sung-ryung', 'Lee El', 'Park Ho-san', 'Um Chae-young', 'Moon Chang-gil', 'Lee Dong-hwi', 'Oh Jung-se', 'Minha Kim']",,,,,"November 27, 2020",['South Korea'],['South Korea'],['Yong Film'],"Awards, 4 wins & 11 nominations total","['Psychological Thriller', 'Crime', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']",['Korean']
