Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
545. Section 8,2022,1h 38m,,4.3,2K,,After avenging the murder of his family a former soldier is sprung from prison and recruited by a shadowy government agency.,https://www.imdb.com/title/tt14950412/?ref_=sr_i_545,"['Chad Law', 'Josh Ridgway', 'Brandon Burrows']",['Christian Sesma'],"['Ryan Kwanten', 'Dolph Lundgren', 'Dermot Mulroney', 'Mickey Rourke', 'Scott Adkins', 'Justin Furstenfeld', 'Maurice Compte', 'Tracy Perez', 'Robert LaSardo', 'Brandon Burrows']","$5,000,000 (estimated)",,,,"September 23, 2022",['United States'],"['Santa Clarita, California, USA']",['Firebrand'],,"['One-Person Army Action', 'Action', 'Thriller']",['English']
546. Sharp Stick,2022,1h 32m,R,4.9,2.5K,53.0,"Sarah Jo is a naive 26-year-old living on the fringes of Hollywood with her mother and sister. She just longs to be seen. When she begins an affair with her older employer, she is thrust into an education on sexuality, loss and power.",https://www.imdb.com/title/tt14158346/?ref_=sr_i_546,['Lena Dunham'],['Lena Dunham'],"['Kristine Froseth', 'Jon Bernthal', 'Luka Sabbat', 'Scott Speedman', 'Lena Dunham', 'Ebon Moss-Bachrach', 'Taylour Paige', 'Jennifer Jason Leigh', 'Liam Michel Saux', 'Janicza Bravo']",,,,,"November 28, 2022",['United States'],"['Los Angeles, California, USA']","['FilmNation Entertainment', 'Good Thing Going']","Awards, 1 nomination total",['Comedy'],['English']
547. Spirited,2022,2h 7m,PG-13,6.6,55K,55.0,A musical version of Charles Dickens's story of a miserly misanthrope who is taken on a magical journey.,https://www.imdb.com/title/tt10999120/?ref_=sr_i_547,"['Sean Anders', 'John Morris', 'Charles Dickens']",['Sean Anders'],"['Will Ferrell', 'Ryan Reynolds', 'Octavia Spencer', 'Patrick Page', 'Sunita Mani', 'Loren G. Woods', 'Tracy Morgan', 'Joe Tippett', 'Marlow Barkley', 'Aimee Carrero']","$200,000,000 (estimated)",,,,"November 18, 2022",['United States'],"['Boston, Massachusetts, USA (street scenes)']","['Apple Original Films', 'Maximum Effort', 'Gloria Sanchez Productions']","Awards, 8 nominations total","['Dark Comedy', 'Dark Fantasy', 'Fairy Tale', 'Holiday Comedy', 'Holiday Family', 'Pop Musical', 'Comedy', 'Family', 'Fantasy', 'Holiday']",['English']
548. Joyride,2022,1h 34m,,6.2,3.1K,48.0,"A headstrong solicitor's plan to offload her new born baby to her sister, is derailed when a vulnerable but opinionated teenager steals their taxi.",https://www.imdb.com/title/tt13515090/?ref_=sr_i_548,['Ailbhe Keogan'],['Emer Reynolds'],"['Olivia Colman', 'Charlie Reid', ""Lochlann O'Mearáin"", 'Elaine Kennedy', 'Seamus Kennnedy', 'Tim Landers', 'Olwen Fouéré', ""Seán O'Connor"", 'Sean Crowe', 'Sam Crowe']",,,"$136,183",,"December 23, 2022","['Ireland', 'United States', 'United Kingdom']","['Kerry Airport, Co. Kerry, Ireland']","['Embankment Films', 'Fís Éireann / Screen Ireland', 'Ingenious Media']","Awards, 3 nominations total","['Comedy', 'Drama']",['English']
549. Tyler Perry's A Madea Homecoming,2022,1h 45m,16+,5.7,5.2K,42.0,Madea's back hallelujer. And she's not putting up with any nonsense as family drama erupts at her great-grandson's college graduation celebration.,https://www.imdb.com/title/tt14813966/?ref_=sr_i_549,['Tyler Perry'],['Tyler Perry'],"['Tyler Perry', 'Cassi Davis', 'David Mann', 'Tamela J. Mann', 'Gabrielle Dennis', ""Brendan O'Carroll"", 'Jennifer Gibney', 'Brandon Black', 'Isha Blaaker', 'Candace Maxwell']",,,,,"February 25, 2022",['United States'],"['Atlanta, Georgia, USA']",['Tyler Perry Studios'],,"['Comedy', 'Drama', 'Romance']",['English']
550. No Limit,2022,1h 58m,TV-MA,5.8,4.2K,,Roxana Aubrey decides to drop her studies and escape her life in Paris for a free diving course in the south of France. She is quickly pulled into a life that reaches new depths brought by the weight of an ocean's descent.,https://www.imdb.com/title/tt14995258/?ref_=sr_i_550,['David M. Rosenthal'],['David M. Rosenthal'],"['Camille Rowe', 'Sofiane Zermani', 'César Domboy', 'Laurent Fernandez', 'Zacharie Chasseriaud', 'Natalie Mitson', 'Muriel Combeau', 'Mathias Minne', 'Adriel Sorrente', 'Laurence Porteil']","€7,900,000 (estimated)",,,,"September 9, 2022",['France'],"['Riviera, France']",['Nolita Cinema'],,"['Psychological Drama', 'Drama', 'Romance', 'Sport', 'Thriller']","['French', 'English']"
551. 20th Century Girl,2022,1h 59m,TV-PG,7.4,12K,,"In 1999, a teen with a heart of gold begins keeping close tabs on a popular classmate as a favor to her smitten best friend.",https://www.imdb.com/title/tt15340724/?ref_=sr_i_551,['Bang Woo-ri'],['Bang Woo-ri'],"['Kim Yoo-jung', 'Byeon Woo-seok', 'Park Jung-woo', 'Roh Yoon-seo', 'Han Hyo-joo', 'Lee Beom-su', 'Ryu Seung-ryong', 'Park Hae-joon', 'Gong Myoung', 'Ong Seong-wu']",,,,,"October 21, 2022",['South Korea'],,"['CJ ENM Studios', 'Yong Film']","Awards, 2 nominations total","['Drama', 'Romance']",['Korean']
552. The Swimmers,2022,2h 14m,PG-13,7.4,38K,62.0,"From war-torn Syria to the 2016 Rio Olympics, two young sisters embark on a harrowing journey as refugees, putting both their hearts and champion swimming skills to heroic use.",https://www.imdb.com/title/tt8745676/?ref_=sr_i_552,"['Sally El Hosaini', 'Jack Thorne']",['Sally El Hosaini'],"['Ali Suliman', 'Matthias Schweighöfer', 'Ahmed Malek', 'Balázs Csémy', 'James Krishna Floyd', 'Dritan Kastrati', 'Roderick Hill', 'Manal Issa', 'Bridgitta Roy', 'Mudar Abbara']",,,,,"November 23, 2022","['United Kingdom', 'United States']","['Damascus, Syria (on location)']","['AZ Celtic Films', 'CAMA Asset Storage & Recycling', 'Reliance Film & Entertainment']","Nominated for 1 BAFTA Award, 1 win & 4 nominations total","['Docudrama', 'Water Sport', 'Biography', 'Drama', 'Sport']","['English', 'Arabic']"
553. Emergency,2022,1h 45m,R,6.2,10K,73.0,"Ready for a night of legendary partying, three college students must weigh the pros and cons of calling the police when faced with an unexpected situation.",https://www.imdb.com/title/tt13650600/?ref_=sr_i_553,['K.D. Dávila'],['Carey Williams'],"['RJ Cyler', 'Donald Elise Watkins', 'Sebastian Chacon', 'Sabrina Carpenter', 'Maddie Nichols', 'Madison Thompson', 'Diego Abraham', 'Summer Madison', 'Gillian Rabin', 'Patrick Lamont Jr.']",,,,,"May 27, 2022",['United States'],"['Atlanta, Georgia (Neighborhoods)']","['Amazon Studios', 'Temple Hill Entertainment']","Awards, 3 wins & 9 nominations total","['Psychological Thriller', 'Quirky Comedy', 'Teen Drama', 'Comedy', 'Drama', 'Thriller']",['English']
554. Survive,2022,1h 48m,16+,4.7,1.7K,,"When their plane crashes on a remote snow-covered mountain, Jane and Paul have to fight for their lives as the only remaining survivors. Together they embark on a harrowing journey out of the wilderness.",https://www.imdb.com/title/tt17080412/?ref_=sr_i_554,"['Richard Abate', 'Alex Morel', 'Jeremy Ungar']",['Mark Pellington'],"['Sophie Turner', 'Corey Hawkins', 'Dane Foxx', 'Caroline Goodall', 'Lewis Hayes', 'Makgotso M', 'Laurel Marsden', 'Terence Maynard', 'Jo Stone-Fewings', 'Marta Kessler']",,,"$135,421",,"June 20, 2023",['United States'],"['Riga, Latvia (Studio)']","['EMH Consulting Group,', 'Gunpowder & Sky']",,"['Survival', 'Tragedy', 'Adventure', 'Drama', 'Thriller']",['English']
555. Hocus Pocus 2,2022,1h 43m,PG,6.0,56K,56.0,Two young women accidentally bring back the Sanderson Sisters to modern day Salem and must figure out how to stop the child-hungry witches from wreaking havoc on the world.,https://www.imdb.com/title/tt11909878/?ref_=sr_i_555,"[""Jen D'Angelo"", 'David Kirschner', 'Blake Harris']",['Anne Fletcher'],"['Bette Midler', 'Sarah Jessica Parker', 'Kathy Najimy', 'Whitney Peak', 'Belissa Escobedo', 'Lilia Buckingham', 'Froy Gutierrez', 'Sam Richardson', 'Doug Jones', 'Tony Hale']","$100,000,000 (estimated)",,,,"September 30, 2022",['United States'],"['Newport Rhode Island, USA (Washington Square, aka: Eisenhower Park and Touro Street)']","['Walt Disney Pictures', 'David Kirschner Productions', 'The Walt Disney Company']","Nominated for 3 Primetime Emmys, 2 wins & 18 nominations total","['Supernatural Fantasy', 'Comedy', 'Family', 'Fantasy']",['English']
556. Interceptor,2022,1h 39m,TV-MA,4.7,28K,51.0,One Army captain is forced to use her years of tactical training and military expertise when a coordinated attack threatens the remote missile interceptor station of which she is in command.,https://www.imdb.com/title/tt14174940/?ref_=sr_i_556,"['Matthew Reilly', 'Stuart Beattie']",['Matthew Reilly'],"['Elsa Pataky', 'Luke Bracey', 'Aaron Glenane', 'Mayen Mehta', 'Rhys Muldoon', 'Colin Friels', 'Zoe Carides', 'Marcus Johnson', 'Belinda Jombwe', 'Paul Caesar']","$15,000,000 (estimated)",,,,"June 3, 2022","['Australia', 'United States']","['Sydney, New South Wales, Australia (location)']","['Ambience Entertainment', 'Foryor Entertainment', 'MAKE-UP EFFECTS GROUP']","Awards, 3 nominations total","['Dark Comedy', 'Action', 'Adventure', 'Drama', 'Thriller']",['English']
557. Mira,2022,1h 56m,,5.8,2.6K,,"A father working on a space station has to save his 15-year-old daughter after a meteorite shower hits Earth, using only satellite phones and cameras.",https://www.imdb.com/title/tt15296186/?ref_=sr_i_557,"['Timofei Dekin', 'Ekaterina Mavromatis', 'Sergey Kaluzhanov']",['Dmitriy Kiselev'],"['Anatoliy Belyy', 'Veronika Ustimova', 'Yevgeniy Yegorov', 'Darya Moroz', 'Maksim Lagashkin', 'Kirill Zaytsev', 'Andrey Smolyakov', 'Aleksander Petrov', 'Igor Khripunov', 'Agniya Vorobyeva']","RUR500,000,000 (estimated)",,"$5,494,204",,"December 22, 2022",['Russia'],,"['Amedia', 'Mars Media']",,"['Adventure', 'Drama', 'Sci-Fi']",['Russian']
558. All the Old Knives,2022,1h 41m,R,6.1,30K,62.0,"In Vienna, Veteran CIA agent Henry is reunited with his former colleague and lover Celia.",https://www.imdb.com/title/tt3706352/?ref_=sr_i_558,['Olen Steinhauer'],['Janus Metz'],"['Goksin Erdemli', 'Kasia Madera', 'Chris Pine', 'Thandiwe Newton', 'Laurence Fishburne', 'Jonathan Pryce', 'Ahd', ""Jonjo O'Neill"", 'Abdul Alshareef', 'David Dawson']",,,,,"April 8, 2022","['United States', 'Canada']","['Carmel-by-the-Sea, California, USA']","['Amazon Studios', 'Barry Linen Motion Pictures', 'Big Indie Pictures']","Awards, 1 win total","['Spy', 'Suspense Mystery', 'Mystery', 'Thriller']",['English']
559. Selina's Gold,2022,1h 53m,18+,5.5,1.9K,,"Selina's father sells her to Tiago who makes her a sex slave. With the help of Domeng, Tiago's blind slave, she plans their way out of this living hell.",https://www.imdb.com/title/tt23118976/?ref_=sr_i_559,['Mac Alejandre'],['Mac Alejandre'],"['Angeli Khang', 'Gold Aceron', 'Jay Manalo', 'Azi Acosta', 'Soliman Cruz', 'Archi Adamos', 'Mickey Ferriols', 'Aurora Sevilla', 'Gwen Garci', 'Juvz Tesalona']",,,,,"October 24, 2022",['Philippines'],,['Viva Films'],,['Drama'],"['Tagalog', 'Filipino']"
560. Vendetta,2022,1h 36m,R,3.7,2.9K,,"When his daughter is brutally murdered and legal justice seems unlikely, William Duncan takes the law into his own hands and sets out on a quest for retribution.",https://www.imdb.com/title/tt14849038/?ref_=sr_i_560,['Jared Cohn'],['Jared Cohn'],"['Clive Standen', 'Theo Rossi', 'Bruce Willis', 'Thomas Jane', 'Mike Tyson', 'Kurt Yue', 'Lauren Buglioli', 'Maddie Nichols', 'Cabot Basden', 'Randy Gonzalez']",,,"$175,173",,"May 17, 2022",['United States'],"['Eatonton, Georgia']","['Bar None Productions', 'Media Capital Group', 'Princess Gates Entertainment']",,"['B-Action', 'One-Person Army Action', 'Action', 'Thriller']",['English']
561. What's Love Got to Do with It?,2022,1h 48m,PG-13,6.3,11K,59.0,"In London, an award-winning film-maker documents her best friend's journey into an assisted marriage in line with his family's Pakistani heritage. In the process, she challenges her own attitude towards relationships.",https://www.imdb.com/title/tt13430858/?ref_=sr_i_561,['Jemima Khan'],['Shekhar Kapur'],"['Mim Shaikh', 'Iman Boujelouah', 'Lily James', 'Emma Thompson', 'Pakiza Baig', 'Jeff Mirza', 'Shabana Azmi', 'Shazad Latif', 'Alexander Owen', 'Ben Ashenden']",,,"$11,065,050",,"May 5, 2023","['United Kingdom', 'France', 'India', 'United States']",,"['Instinct Productions', 'Reliance Film & Entertainment', 'StudioCanal']",,"['Romantic Comedy', 'Comedy', 'Drama', 'Romance']","['English', 'Urdu', 'Arabic']"
562. Fire Island,2022,1h 45m,R,6.7,15K,72.0,"A group of queer best friends gather in Fire Island Pines for their annual week of love and laughter, but a sudden change of events might make this their last summer in gay paradise.",https://www.imdb.com/title/tt15218000/?ref_=sr_i_562,['Joel Kim Booster'],['Andrew Ahn'],"['Joel Kim Booster', 'Bowen Yang', 'Margaret Cho', 'Conrad Ricamora', 'James Scully', 'Matt Rogers', 'Tomas Matos', 'Torian Miller', 'Nick Adams', 'Zane Phillips']",,,,,"June 3, 2022",['United States'],"['Fire Island, Long Island, New York, USA']","['Jax Media', 'Searchlight Pictures']","Nominated for 2 Primetime Emmys, 7 wins & 17 nominations total","['Buddy Comedy', 'Feel-Good Romance', 'Romantic Comedy', 'Comedy', 'Romance']",['English']
563. A Perfect Pairing,2022,1h 41m,TV-14,6.1,18K,55.0,It follows a hard-driving LA wine-company executive who travels to an Australian sheep station to land a major client and there she ends up working as a ranch hand and sparking with a rugged local.,https://www.imdb.com/title/tt15215512/?ref_=sr_i_563,"['Elizabeth Hackett', 'Hilary Galanoy']",['Stuart McDonald'],"['Victoria Justice', 'Adam Demos', 'Luca Asta Sardelis', 'Samantha Cain', 'Craig Horner', 'Antonio Alvarez', 'Lucy Durack', 'Emily Havea', 'Natalie Abbott', 'Jayden Popik']",,,,,"May 19, 2022",['United States'],"['Numinbah Valley, Queensland, Australia']","['DAE Light Media', 'Front Row Films', 'Goodwin Talent Agency']",,"['Feel-Good Romance', 'Comedy', 'Romance']",['English']
564. Something in the Dirt,2022,1h 56m,R,5.8,6K,76.0,Maverick filmmaking duo Justin Benson and Aaron Moorhead offer up a twisted reflection of our paranoid times in this inventive mix of buddy comedy and sci-fi thriller.,https://www.imdb.com/title/tt14895716/?ref_=sr_i_564,['Justin Benson'],"['Justin Benson', 'Aaron Moorhead']","['Aaron Moorhead', 'Justin Benson', 'Sarah Adina Smith', 'Wanjiru M. Njendu', 'Issa Lopez', 'Vinny Curran', 'Jeremy Harlin', 'Gille Klabin', 'C. Robert Cargill', 'Liam Gavin']",,,"$163,688",,"November 22, 2022",['United States'],,['Rustic Films'],"Awards, 1 win & 5 nominations total","['Supernatural Horror', 'Comedy', 'Horror', 'Mystery', 'Sci-Fi']","['English', 'Italian']"
565. Padre Pio,2022,1h 44m,R,4.5,1.6K,41.0,"WWI has ended but events surrounding the first free election in Italy threaten to tear the village apart. Padre Pio struggles with his own personal demons, ultimately emerging to become one of Catholicism's most venerated figures.",https://www.imdb.com/title/tt18272884/?ref_=sr_i_565,"['Maurizio Braucci', 'Abel Ferrara']",['Abel Ferrara'],"['Shia LaBeouf', 'Cristina Chiriac', 'Marco Leonardi', 'Asia Argento', 'Vincenzo Crea', 'Luca Lionello', 'Salvatore Ruocco', 'Brando Pacitto', 'Stella Mastrantonio', 'Federico Majorana']",,,"$12,100",,"June 2, 2023","['Germany', 'Italy', 'United Kingdom', 'United States']","['San Marco la Catola, Puglia, Italy']","['Maze Pictures', 'Interlinea Films', 'Rimsky Productions']","Awards, 1 win & 1 nomination total","['Period Drama', 'Biography', 'Drama']","['Italian', 'English']"
566. Black Site,2022,1h 33m,R,4.4,4.4K,,"A group of officers in a labyrinthine top-secret prison must fight for their lives against Hatchet, a brilliant and infamous high-value detainee. When he escapes, his mysterious and deadly agenda has far-reaching and dire consequences.",https://www.imdb.com/title/tt13918550/?ref_=sr_i_566,"['Jinder Ho', 'John Collee']",['Sophia Banks'],"['Jason Clarke', 'Michelle Monaghan', 'Jai Courtney', 'Pallavi Sharda', 'Phoenix Raei', 'Fayssal Bazzi', 'Uli Latukefu', 'Logan Huffman', 'Todd Lasance', 'Lincoln Lewis']","$15,000,000 (estimated)",,"$119,089",,"May 3, 2022",['United States'],"['Gold Coast, Queensland, Australia']","['Asbury Park Productions', 'Story Bridge Films', 'Elevate Production Finance']",,"['Action', 'Thriller']",['English']
567. Swallowed,2022,1h 36m,R,5.3,3.5K,53.0,"Follows two best friends on their final night together, with a nightmare of drugs, bugs, and horrific intimacy.",https://www.imdb.com/title/tt14960854/?ref_=sr_i_567,['Carter Smith'],['Carter Smith'],"['Cooper Koch', 'Jena Malone', 'Mark Patton', 'Jose Colon', 'Roe Pacheco', 'Michael Shawn Curtis', 'Thee Suburbia', 'Hannah Perry']",,,,,"February 14, 2023",['United States'],,"['All the Dead Boys', 'Leroi', 'Witchcraft Motion Picture Company']","Awards, 1 win total","['Body Horror', 'Horror', 'Thriller']",['English']
568. My Sole Desire,2022,1h 59m,,6.2,1.1K,,"Have you ever been to a strip club? But you've already wanted to - at least once - you didn't dare, that's all. This film tells the story of someone who dared.",https://www.imdb.com/title/tt23741080/?ref_=sr_i_568,"['Lucie Borleteau', 'Clara Bourreau', 'Laure Giappiconi']",['Lucie Borleteau'],"['Zita Hanrot', 'Louise Chevillotte', 'Laure Giappiconi', 'Pedro Casablanc', 'Tokou Bogui', 'Sième Miladi', 'Thimotée Robart', 'Sipan Mouradian', 'Melvil Poupaud', 'Céline Fuhrer']",,,,,"April 5, 2023",['France'],,"['Apsara Films', ""Centre national du cinéma et de l'image animée (CNC)"", 'Canal+']",,"['Drama', 'Romance']",['French']
569. Influencer,2022,1h 32m,,6.2,17K,66.0,"While struggling on a solo backpacking trip in Thailand, social media influencer Madison meets CW, who travels with ease and shows her a more uninhibited way of living, but CW's interest in her takes a darker turn.",https://www.imdb.com/title/tt13309170/?ref_=sr_i_569,"['Tesh Guttikonda', 'Kurtis David Harder']",['Kurtis David Harder'],"['Emily Tennant', 'Rory J Saper', 'Cassandra Naud', 'Justin Sams', 'Paul Spurrier', 'Sara Canning']",,,"$226,682",,2023,['United States'],"['Vancouver, Canada (location)']","['Octane Entertainment', 'Superchill']","Awards, 7 wins & 4 nominations total","['Psychological Horror', 'Psychological Thriller', 'Suspense Mystery', 'Horror', 'Mystery', 'Thriller']",['English']
570. The Ice Age Adventures of Buck Wild,2022,1h 22m,PG,4.3,18K,30.0,"Possum brothers Crash and Eddie set out to find a place of their own. Together with the one-eyed weasel, Buck Wild, they face the dinosaurs who inhabit the Lost World.",https://www.imdb.com/title/tt13634480/?ref_=sr_i_570,"['Jim Hecht', 'William Schifrin', 'Ray DeLaurentis']","['Marshall Fels Elliott', 'John C. Donkin']","['Utkarsh Ambudkar', 'Sean Kenin', 'Jake Green', 'Aaron Harris', 'Dominique Jennings', 'Justina Machado', 'Simon Pegg', 'Skyler Stone', 'Vincent Tong', 'Theodore Borders']","$63,000,000 (estimated)",,,,"January 28, 2022","['Canada', 'United States']",,"['20th Century Studios', 'Bardel Entertainment', 'Twentieth Century Animation']","Awards, 1 win & 3 nominations total","['Computer Animation', 'Dinosaur Adventure', 'Adventure', 'Animation', 'Comedy', 'Family']",['English']
571. What Is a Woman?,2022,1h 35m,,8.1,46K,,"Political commentator Matt Walsh explores the changing concepts of sex and gender in the digital age, particularly the transgender rights movement, anti-transgender bigotry, and what it means to be a woman.",https://www.imdb.com/title/tt20256528/?ref_=sr_i_571,"['Matt Walsh', 'Gert Comfrey', 'Marci Bowers']",['Justin Folk'],"['Matt Walsh', 'Gert Comfrey', 'Marci Bowers', 'Don Sucher', 'Michelle Forcier', 'Patrick Grzanka', 'Miriam Grossman', 'Selina Soule', 'Rodrigo Lehtinen', 'Mark Takano']",,,,,"June 1, 2022",['United States'],,['Digital Astronaut'],,"['Dark Comedy', 'Political Documentary', 'Documentary']",['English']
572. Rorschach,2022,2h 30m,,6.9,7K,,The Movie is about Luke Anthony who has a mysterious past and is out on a mission to seek revenge from someone who has destroyed him deeply,https://www.imdb.com/title/tt19886242/?ref_=sr_i_572,['Sameer Abdul'],['Nissam Basheer'],"['Mammootty', 'Grace Antony', 'Jagadish', 'Bindu Panikkar', 'Sharafudheen', 'Kottayam Nazeer', 'Sanju Sivram', 'Asif Ali', 'Mani Shornur', 'Ira Noor']","₹120,000,000 (estimated)",,"$2,145,878",,"October 7, 2022",['India'],,"['Mammootty Kampany', 'Wayfarer Films']","Awards, 1 nomination total","['Action', 'Mystery', 'Thriller']",['Malayalam']
573. They/Them,2022,1h 44m,TV-MA,4.0,13K,46.0,A group of teenagers at an LGBTQ+ conversion camp endures unsettling psychological techniques while being stalked by a mysterious masked killer.,https://www.imdb.com/title/tt14502344/?ref_=sr_i_573,['John Logan'],['John Logan'],"['Kevin Bacon', 'Theo Germaine', 'Anna Chlumsky', 'Carrie Preston', 'Quei Tann', 'Austin Crute', 'Anna Lore', 'Monique Kim', 'Cooper Koch', 'Darwin del Fabro']",,,,,"August 5, 2022",['United States'],"['Rutledge, Georgia, USA']",['Blumhouse Productions'],,"['Psychological Horror', 'Psychological Thriller', 'Slasher Horror', 'Drama', 'Horror', 'Mystery', 'Thriller']",['English']
574. Apollo 10½: A Space Age Childhood,2022,1h 37m,PG-13,7.2,13K,79.0,"A coming-of-age story set in the suburbs of Houston, Texas in the summer of 1969, centered around the historic Apollo 11 moon landing.",https://www.imdb.com/title/tt7978758/?ref_=sr_i_574,['Richard Linklater'],['Richard Linklater'],"['Milo Coy', 'Jack Black', 'Lee Eddy', 'Bill Wise', ""Natalie L'Amoreaux"", 'Josh Wiggins', 'Jessica Brynn Cohen', 'Sam Chipman', 'Danielle Guilbot', 'Zachary Levi']",,,,,"April 1, 2022","['United States', 'Netherlands']","['Texas, USA']","['Minnow Mountain', 'Submarine', 'Detour Filmproduction']","Awards, 1 win & 24 nominations total","['Adult Animation', 'Coming-of-Age', 'Computer Animation', 'Adventure', 'Animation', 'Drama', 'Family', 'History']",['English']
575. To Leslie,2022,1h 59m,R,7.1,19K,84.0,A single mother tries to reclaim her life and connection with her son after winning the lottery and spending all her money on parties and alcohol.,https://www.imdb.com/title/tt8129806/?ref_=sr_i_575,['Ryan Binaco'],['Michael Morris'],"['Andrea Riseborough', 'Drew Youngblood', 'Tom Virtue', 'Lauren Letherer', 'Sewell Whitney', 'Pramode Kumar', 'Blake Robbins', 'Brandee Steger', 'Chris Jones', 'Owen Teague']",,,"$413,158",,"October 7, 2022",['United States'],"[""Rosamond, California, USA (Carl's Motel)""]","['BCDF Pictures', 'Baral Waley Productions', 'Shaken Not Stirred']","Nominated for 1 Oscar, 6 wins & 9 nominations total",['Drama'],['English']
576. Here Be Dragons,2022,2h 1m,,6.7,114,,A war crimes investigator goes to Belgrade to hunt a man whom everybody thought was dead.,https://www.imdb.com/title/tt11845074/?ref_=sr_i_576,['Alastair Newton Brown'],['Alastair Newton Brown'],"['Nathan Sapsford', 'Slobodan Bestic', 'Marija Bergam', ""Svetislav 'Bule' Goncic"", 'Igor Filipovic', 'Zoran Pajic', 'Sasa Kuzmanovic', 'Ana Sofrenovic', 'Jelena Stupljanin', 'Petar Milicevic']",,,"$3,047",,"August 16, 2024",['Australia'],"['Belgrade, Serbia (location)']",['Equal & Opposite Pictures'],"Awards, 2 nominations total","['Drama', 'Thriller']","['English', 'Serbian']"
577. Sick,2022,1h 23m,R,6.0,23K,62.0,"Due to the pandemic, Parker and her best friend decide to quarantine at the family lake house alone - or so they think.",https://www.imdb.com/title/tt14642626/?ref_=sr_i_577,"['Kevin Williamson', 'Katelyn Crabb']",['John Hyams'],"['Gideon Adlon', 'Bethlehem Million', 'Dylan Sprayberry', 'Marc Menchaca', 'Jane Adams', 'Joel Courtney', 'Chris Reid', 'Duane Stephens', 'Logan Murphy', 'Terry D. Gibson']","$7,000,000 (estimated)",,,,"January 13, 2023",['United States'],"['Utah, USA']","['Blumhouse Productions', 'Miramax', 'Outerbanks Entertainment']","Awards, 1 nomination total","['Slasher Horror', 'Teen Horror', 'Horror', 'Mystery', 'Thriller']",['English']
578. The Munsters,2022,1h 49m,PG,4.5,12K,57.0,"Reboot of ""The Munsters,"" that followed a family of monsters who moves from Transylvania to an American suburb.",https://www.imdb.com/title/tt14813212/?ref_=sr_i_578,"['Rob Zombie', 'Norm Liebmann', 'Ed Haas']",['Rob Zombie'],"['Sheri Moon Zombie', 'Jeff Daniel Phillips', 'Daniel Roebuck', 'Richard Brake', 'Jorge Garcia', 'Sylvester McCoy', 'Catherine Schell', 'Cassandra Peterson', 'Tomas Boykin', 'Levente Törköly']",,,,,"September 27, 2022","['United States', 'Hungary']","['Budapest, Hungary']","['Capital Arts Entertainment', 'Hero Squared', 'Spookshow International']","Awards, 1 win & 3 nominations total","['Comedy', 'Family', 'Fantasy', 'Horror', 'Music', 'Mystery', 'Sci-Fi', 'Thriller']",['English']
579. Pamasahe,2022,1h 44m,,5.3,1.4K,,"A penniless mother, with her infant child, takes on a journey by land and sea to find her husband in Manila. But this trip won't be free for she has to use her body to get to her destination.",https://www.imdb.com/title/tt23862640/?ref_=sr_i_579,['Ronald Perez'],['Roman Perez Jr.'],"['Azi Acosta', 'Mark Anthony Fernandez', 'Felix Roco', 'Shiena Yu', 'Julio Diaz', 'Shirley Fuentes', 'Rash Flores', 'Richard Solano', 'Alvaro Oteyza', 'Apple Castro']",,,,,"December 9, 2022",['Philippines'],,['Viva Films'],,['Drama'],"['Tagalog', 'Filipino']"
580. Wifelike,2022,1h 45m,R,4.9,5.7K,,"When artificial human Meredith is assigned as a companion to grieving widower William, she is designed to behave like his late wife. But in the fight to end AI exploitation, an organization attempts to sabotage her programming.",https://www.imdb.com/title/tt15978956/?ref_=sr_i_580,['James Bird'],['James Bird'],"['Jonathan Rhys Meyers', 'Elena Kampouris', 'Doron Bell', 'Agam Darshi', 'Alix Villaret', 'Fletcher Donovan', 'Sara Sampaio', 'Rachelle Goulding', 'Caitlin Stryker', 'C.J. Perry Barnyashev']",,,,,"August 12, 2022",['United States'],"['Vancouver, British Columbia, Canada']","['SP Media Group', 'Wonder Street']","Awards, 1 nomination total","['Artificial Intelligence', 'Crime', 'Mystery', 'Sci-Fi', 'Thriller']",['English']
581. Something from Tiffany's,2022,1h 27m,PG,6.2,12K,46.0,Follows a woman as her life gets upended when an engagement ring that was for someone else leads her to the person she's meant to be with.,https://www.imdb.com/title/tt16233952/?ref_=sr_i_581,"['Melissa Hill', 'Tamara Chestna']",['Daryl Wein'],"['Zoey Deutch', 'Kendrick Sampson', 'Ray Nicholson', 'Shay Mitchell', ""Leah Sava' Jeffries"", 'Jojo T. Gibbs', 'Javicia Leslie', 'Stephanie Suganami', 'Rose Abdoo', 'Lyman Chen']",,,,,"December 9, 2022",['United States'],"['New York City, New York, USA']","['Amazon Studios', 'Catchlight Studios', 'Hello Sunshine']",,"['Feel-Good Romance', 'Romantic Comedy', 'Comedy', 'Family', 'Romance']",['English']
